County,Date,Vaccine,Count
,3/26/21,Moderna,670
,3/26/21,Pfizer,376
,3/26/21,Unspecified,3
,3/27/21,Johnson & Johnson,30
,3/27/21,Moderna,425
,3/27/21,Pfizer,501
,3/27/21,Unspecified,1
,3/28/21,Johnson & Johnson,9
,3/28/21,Moderna,82
,3/28/21,Pfizer,294
,3/28/21,Unspecified,8
,3/29/21,Johnson & Johnson,42
,3/29/21,Moderna,260
,3/29/21,Pfizer,229
,3/30/21,Johnson & Johnson,56
,3/30/21,Moderna,315
,3/30/21,Pfizer,364
,3/30/21,Unspecified,5
,3/31/21,Johnson & Johnson,171
,3/31/21,Moderna,548
,3/31/21,Pfizer,358
,3/31/21,Unspecified,3
,4/1/21,Johnson & Johnson,202
,4/1/21,Moderna,824
,4/1/21,Pfizer,233
,4/1/21,Unspecified,5
,4/2/21,Johnson & Johnson,193
,4/2/21,Moderna,583
,4/2/21,Pfizer,344
,4/2/21,Unspecified,4
,4/3/21,Johnson & Johnson,118
,4/3/21,Moderna,320
,4/3/21,Pfizer,648
,4/4/21,Johnson & Johnson,29
,4/4/21,Moderna,25
,4/4/21,Pfizer,207
,4/5/21,Johnson & Johnson,140
,4/5/21,Moderna,261
,4/5/21,Pfizer,378
,4/5/21,Unspecified,2
,4/6/21,Johnson & Johnson,281
,4/6/21,Moderna,328
,4/6/21,Pfizer,485
,4/6/21,Unspecified,6
,4/7/21,Johnson & Johnson,255
,4/7/21,Moderna,648
,4/7/21,Pfizer,390
,4/8/21,Johnson & Johnson,332
,4/8/21,Moderna,695
,4/8/21,Pfizer,481
,4/8/21,Unspecified,6
,4/9/21,Johnson & Johnson,502
,4/9/21,Moderna,632
,4/9/21,Pfizer,591
,4/9/21,Unspecified,1
,4/10/21,Johnson & Johnson,538
,4/10/21,Moderna,290
,4/10/21,Pfizer,386
,4/11/21,Johnson & Johnson,90
,4/11/21,Moderna,131
,4/11/21,Pfizer,183
,4/12/21,Johnson & Johnson,187
,4/12/21,Moderna,201
,4/12/21,Pfizer,391
,4/12/21,Unspecified,1
,4/13/21,Moderna,516
,4/13/21,Pfizer,396
,4/13/21,Unspecified,1
,4/14/21,Moderna,650
,4/14/21,Pfizer,492
,4/14/21,Unspecified,2
,4/15/21,Moderna,893
,4/15/21,Pfizer,434
,4/15/21,Unspecified,4
,4/16/21,Johnson & Johnson,1
,4/16/21,Moderna,580
,4/16/21,Pfizer,618
,4/17/21,Johnson & Johnson,1
,4/17/21,Moderna,482
,4/17/21,Pfizer,908
,4/18/21,Johnson & Johnson,2
,4/18/21,Moderna,193
,4/18/21,Pfizer,271
,4/18/21,Unspecified,1
,4/19/21,Moderna,239
,4/19/21,Pfizer,303
,4/19/21,Unspecified,1
,4/20/21,Moderna,674
,4/20/21,Pfizer,423
,4/20/21,Unspecified,4
,4/21/21,Moderna,748
,4/21/21,Pfizer,581
,4/21/21,Unspecified,1
,4/22/21,Moderna,701
,4/22/21,Pfizer,"1,158"
,4/22/21,Unspecified,1
,4/23/21,Johnson & Johnson,1
,4/23/21,Moderna,700
,4/23/21,Pfizer,829
,4/24/21,Johnson & Johnson,1
,4/24/21,Moderna,405
,4/24/21,Pfizer,"1,682"
,4/25/21,Moderna,146
,4/25/21,Pfizer,370
,4/26/21,Johnson & Johnson,10
,4/26/21,Moderna,260
,4/26/21,Pfizer,381
,4/27/21,Johnson & Johnson,25
,4/27/21,Moderna,443
,4/27/21,Pfizer,438
,4/27/21,Unspecified,3
,4/28/21,Johnson & Johnson,67
,4/28/21,Moderna,630
,4/28/21,Pfizer,801
,4/28/21,Unspecified,1
,4/29/21,Johnson & Johnson,58
,4/29/21,Moderna,744
,4/29/21,Pfizer,478
,4/29/21,Unspecified,1
,4/30/21,Johnson & Johnson,51
,4/30/21,Moderna,499
,4/30/21,Pfizer,830
,5/1/21,Johnson & Johnson,35
,5/1/21,Moderna,189
,5/1/21,Pfizer,637
,5/2/21,Johnson & Johnson,17
,5/2/21,Moderna,45
,5/2/21,Pfizer,390
,5/3/21,Johnson & Johnson,55
,5/3/21,Moderna,199
,5/3/21,Pfizer,425
,5/4/21,Johnson & Johnson,101
,5/4/21,Moderna,406
,5/4/21,Pfizer,522
,5/5/21,Johnson & Johnson,81
,5/5/21,Moderna,329
,5/5/21,Pfizer,376
,5/6/21,Johnson & Johnson,116
,5/6/21,Moderna,529
,5/6/21,Pfizer,558
,5/6/21,Unspecified,2
,5/7/21,Johnson & Johnson,80
,5/7/21,Moderna,487
,5/7/21,Pfizer,621
,5/7/21,Unspecified,1
,5/8/21,Johnson & Johnson,55
,5/8/21,Moderna,151
,5/8/21,Pfizer,349
,5/9/21,Johnson & Johnson,22
,5/9/21,Moderna,60
,5/9/21,Pfizer,214
,5/10/21,Johnson & Johnson,70
,5/10/21,Moderna,194
,5/10/21,Pfizer,216
,5/11/21,Johnson & Johnson,50
,5/11/21,Moderna,356
,5/11/21,Pfizer,242
,5/11/21,Unspecified,2
,5/12/21,Johnson & Johnson,70
,5/12/21,Moderna,448
,5/12/21,Pfizer,375
,5/13/21,Johnson & Johnson,86
,5/13/21,Moderna,342
,5/13/21,Pfizer,312
,5/14/21,Johnson & Johnson,65
,5/14/21,Moderna,213
,5/14/21,Pfizer,298
Baker,12/18/20,Pfizer,32
Baker,12/19/20,Pfizer,1
Baker,12/21/20,Pfizer,25
Baker,12/22/20,Pfizer,1
Baker,12/23/20,Pfizer,67
Baker,12/27/20,Moderna,1
Baker,12/27/20,Pfizer,1
Baker,12/28/20,Moderna,3
Baker,12/29/20,Moderna,2
Baker,12/30/20,Moderna,3
Baker,12/30/20,Pfizer,63
Baker,12/31/20,Moderna,11
Baker,1/4/21,Moderna,1
Baker,1/5/21,Moderna,6
Baker,1/6/21,Moderna,3
Baker,1/6/21,Pfizer,1
Baker,1/7/21,Moderna,41
Baker,1/7/21,Pfizer,2
Baker,1/8/21,Moderna,35
Baker,1/8/21,Pfizer,108
Baker,1/11/21,Pfizer,27
Baker,1/12/21,Moderna,1
Baker,1/12/21,Pfizer,1
Baker,1/13/21,Moderna,1
Baker,1/13/21,Pfizer,68
Baker,1/14/21,Moderna,67
Baker,1/14/21,Pfizer,2
Baker,1/15/21,Moderna,22
Baker,1/16/21,Moderna,3
Baker,1/17/21,Moderna,2
Baker,1/17/21,Pfizer,1
Baker,1/18/21,Pfizer,1
Baker,1/19/21,Moderna,74
Baker,1/20/21,Moderna,10
Baker,1/20/21,Pfizer,65
Baker,1/21/21,Moderna,54
Baker,1/22/21,Moderna,3
Baker,1/22/21,Pfizer,1
Baker,1/23/21,Moderna,1
Baker,1/24/21,Moderna,1
Baker,1/24/21,Pfizer,1
Baker,1/25/21,Moderna,1
Baker,1/26/21,Moderna,90
Baker,1/27/21,Moderna,2
Baker,1/27/21,Pfizer,1
Baker,1/28/21,Moderna,68
Baker,1/28/21,Pfizer,1
Baker,1/29/21,Moderna,187
Baker,1/29/21,Pfizer,97
Baker,1/30/21,Moderna,1
Baker,2/1/21,Moderna,10
Baker,2/2/21,Moderna,36
Baker,2/3/21,Moderna,7
Baker,2/4/21,Moderna,65
Baker,2/4/21,Pfizer,2
Baker,2/5/21,Moderna,74
Baker,2/5/21,Pfizer,1
Baker,2/6/21,Moderna,4
Baker,2/8/21,Moderna,5
Baker,2/9/21,Johnson & Johnson,1
Baker,2/9/21,Moderna,13
Baker,2/9/21,Pfizer,1
Baker,2/10/21,Moderna,26
Baker,2/11/21,Moderna,138
Baker,2/12/21,Moderna,327
Baker,2/12/21,Pfizer,1
Baker,2/13/21,Moderna,30
Baker,2/14/21,Moderna,5
Baker,2/15/21,Moderna,28
Baker,2/16/21,Moderna,95
Baker,2/17/21,Moderna,26
Baker,2/17/21,Pfizer,37
Baker,2/18/21,Moderna,72
Baker,2/18/21,Pfizer,1
Baker,2/19/21,Moderna,6
Baker,2/20/21,Moderna,2
Baker,2/21/21,Moderna,1
Baker,2/22/21,Moderna,13
Baker,2/23/21,Moderna,87
Baker,2/24/21,Moderna,16
Baker,2/24/21,Pfizer,1
Baker,2/25/21,Moderna,114
Baker,2/26/21,Moderna,661
Baker,2/27/21,Moderna,21
Baker,2/28/21,Moderna,20
Baker,3/1/21,Moderna,71
Baker,3/2/21,Moderna,69
Baker,3/3/21,Moderna,87
Baker,3/4/21,Johnson & Johnson,6
Baker,3/4/21,Moderna,264
Baker,3/5/21,Johnson & Johnson,18
Baker,3/5/21,Moderna,76
Baker,3/6/21,Johnson & Johnson,6
Baker,3/6/21,Moderna,14
Baker,3/7/21,Moderna,8
Baker,3/8/21,Moderna,163
Baker,3/8/21,Pfizer,1
Baker,3/9/21,Johnson & Johnson,17
Baker,3/9/21,Moderna,55
Baker,3/10/21,Johnson & Johnson,32
Baker,3/10/21,Moderna,84
Baker,3/11/21,Johnson & Johnson,26
Baker,3/11/21,Moderna,119
Baker,3/12/21,Johnson & Johnson,25
Baker,3/12/21,Moderna,757
Baker,3/13/21,Moderna,21
Baker,3/13/21,Pfizer,1
Baker,3/14/21,Moderna,10
Baker,3/14/21,Pfizer,1
Baker,3/15/21,Johnson & Johnson,13
Baker,3/15/21,Moderna,44
Baker,3/16/21,Johnson & Johnson,21
Baker,3/16/21,Moderna,62
Baker,3/17/21,Johnson & Johnson,21
Baker,3/17/21,Moderna,73
Baker,3/17/21,Pfizer,1
Baker,3/18/21,Johnson & Johnson,16
Baker,3/18/21,Moderna,123
Baker,3/18/21,Pfizer,11
Baker,3/19/21,Johnson & Johnson,17
Baker,3/19/21,Moderna,44
Baker,3/20/21,Johnson & Johnson,14
Baker,3/20/21,Moderna,44
Baker,3/21/21,Moderna,17
Baker,3/21/21,Pfizer,1
Baker,3/22/21,Johnson & Johnson,21
Baker,3/22/21,Moderna,28
Baker,3/23/21,Johnson & Johnson,13
Baker,3/23/21,Moderna,38
Baker,3/24/21,Johnson & Johnson,12
Baker,3/24/21,Moderna,59
Baker,3/25/21,Johnson & Johnson,18
Baker,3/25/21,Moderna,71
Baker,3/26/21,Johnson & Johnson,8
Baker,3/26/21,Moderna,592
Baker,3/27/21,Moderna,20
Baker,3/27/21,Pfizer,3
Baker,3/28/21,Moderna,20
Baker,3/29/21,Johnson & Johnson,5
Baker,3/29/21,Moderna,57
Baker,3/29/21,Pfizer,2
Baker,3/30/21,Johnson & Johnson,3
Baker,3/30/21,Moderna,79
Baker,3/31/21,Johnson & Johnson,8
Baker,3/31/21,Moderna,111
Baker,3/31/21,Pfizer,1
Baker,4/1/21,Johnson & Johnson,5
Baker,4/1/21,Moderna,284
Baker,4/1/21,Pfizer,2
Baker,4/2/21,Johnson & Johnson,5
Baker,4/2/21,Moderna,34
Baker,4/2/21,Pfizer,3
Baker,4/3/21,Johnson & Johnson,3
Baker,4/3/21,Moderna,9
Baker,4/3/21,Pfizer,84
Baker,4/4/21,Johnson & Johnson,7
Baker,4/4/21,Moderna,14
Baker,4/4/21,Pfizer,26
Baker,4/5/21,Johnson & Johnson,3
Baker,4/5/21,Moderna,180
Baker,4/5/21,Pfizer,21
Baker,4/6/21,Johnson & Johnson,18
Baker,4/6/21,Moderna,84
Baker,4/6/21,Pfizer,13
Baker,4/6/21,Unspecified,1
Baker,4/7/21,Johnson & Johnson,29
Baker,4/7/21,Moderna,78
Baker,4/7/21,Pfizer,1
Baker,4/8/21,Johnson & Johnson,19
Baker,4/8/21,Moderna,115
Baker,4/8/21,Pfizer,3
Baker,4/9/21,Johnson & Johnson,17
Baker,4/9/21,Moderna,615
Baker,4/9/21,Pfizer,3
Baker,4/10/21,Johnson & Johnson,15
Baker,4/10/21,Pfizer,1
Baker,4/11/21,Moderna,10
Baker,4/11/21,Pfizer,1
Baker,4/12/21,Johnson & Johnson,14
Baker,4/12/21,Moderna,29
Baker,4/13/21,Moderna,42
Baker,4/13/21,Pfizer,4
Baker,4/14/21,Moderna,81
Baker,4/14/21,Pfizer,5
Baker,4/15/21,Moderna,151
Baker,4/15/21,Pfizer,10
Baker,4/16/21,Moderna,123
Baker,4/16/21,Pfizer,3
Baker,4/17/21,Moderna,51
Baker,4/17/21,Pfizer,1
Baker,4/18/21,Moderna,18
Baker,4/19/21,Moderna,32
Baker,4/19/21,Pfizer,3
Baker,4/20/21,Moderna,47
Baker,4/20/21,Pfizer,2
Baker,4/21/21,Moderna,78
Baker,4/21/21,Pfizer,1
Baker,4/22/21,Moderna,87
Baker,4/23/21,Moderna,113
Baker,4/23/21,Pfizer,3
Baker,4/24/21,Moderna,61
Baker,4/24/21,Pfizer,1
Baker,4/25/21,Moderna,3
Baker,4/26/21,Moderna,23
Baker,4/26/21,Pfizer,5
Baker,4/27/21,Johnson & Johnson,10
Baker,4/27/21,Moderna,28
Baker,4/27/21,Pfizer,7
Baker,4/28/21,Johnson & Johnson,15
Baker,4/28/21,Moderna,42
Baker,4/28/21,Pfizer,15
Baker,4/29/21,Johnson & Johnson,2
Baker,4/29/21,Moderna,95
Baker,4/29/21,Pfizer,7
Baker,4/30/21,Moderna,17
Baker,4/30/21,Pfizer,6
Baker,5/1/21,Johnson & Johnson,1
Baker,5/1/21,Moderna,4
Baker,5/1/21,Pfizer,1
Baker,5/2/21,Moderna,2
Baker,5/2/21,Pfizer,2
Baker,5/3/21,Johnson & Johnson,9
Baker,5/3/21,Moderna,31
Baker,5/4/21,Johnson & Johnson,5
Baker,5/4/21,Moderna,55
Baker,5/4/21,Pfizer,1
Baker,5/5/21,Johnson & Johnson,2
Baker,5/5/21,Moderna,57
Baker,5/5/21,Pfizer,3
Baker,5/6/21,Johnson & Johnson,6
Baker,5/6/21,Moderna,172
Baker,5/6/21,Pfizer,32
Baker,5/7/21,Johnson & Johnson,4
Baker,5/7/21,Moderna,88
Baker,5/8/21,Johnson & Johnson,4
Baker,5/8/21,Moderna,14
Baker,5/10/21,Johnson & Johnson,5
Baker,5/10/21,Moderna,29
Baker,5/11/21,Johnson & Johnson,3
Baker,5/11/21,Moderna,37
Baker,5/12/21,Johnson & Johnson,5
Baker,5/12/21,Moderna,28
Baker,5/12/21,Pfizer,1
Baker,5/13/21,Johnson & Johnson,3
Baker,5/13/21,Moderna,87
Baker,5/13/21,Pfizer,3
Baker,5/14/21,Johnson & Johnson,13
Baker,5/14/21,Moderna,54
Baker,5/14/21,Pfizer,1
Benton,12/16/20,Pfizer,1
Benton,12/17/20,Pfizer,2
Benton,12/18/20,Pfizer,19
Benton,12/19/20,Pfizer,8
Benton,12/20/20,Pfizer,3
Benton,12/21/20,Pfizer,144
Benton,12/22/20,Pfizer,147
Benton,12/23/20,Moderna,11
Benton,12/23/20,Pfizer,175
Benton,12/24/20,Moderna,1
Benton,12/24/20,Pfizer,4
Benton,12/26/20,Moderna,4
Benton,12/26/20,Pfizer,18
Benton,12/27/20,Moderna,5
Benton,12/27/20,Pfizer,2
Benton,12/28/20,Moderna,32
Benton,12/28/20,Pfizer,160
Benton,12/29/20,Moderna,43
Benton,12/29/20,Pfizer,177
Benton,12/30/20,Moderna,35
Benton,12/30/20,Pfizer,142
Benton,12/31/20,Moderna,39
Benton,12/31/20,Pfizer,2
Benton,1/1/21,Moderna,3
Benton,1/1/21,Pfizer,5
Benton,1/2/21,Moderna,5
Benton,1/2/21,Pfizer,2
Benton,1/3/21,Moderna,13
Benton,1/3/21,Pfizer,9
Benton,1/4/21,Moderna,96
Benton,1/4/21,Pfizer,11
Benton,1/5/21,Moderna,148
Benton,1/5/21,Pfizer,126
Benton,1/6/21,Moderna,135
Benton,1/6/21,Pfizer,92
Benton,1/7/21,Moderna,157
Benton,1/7/21,Pfizer,174
Benton,1/8/21,Moderna,212
Benton,1/8/21,Pfizer,84
Benton,1/9/21,Moderna,137
Benton,1/9/21,Pfizer,39
Benton,1/10/21,Moderna,3
Benton,1/10/21,Pfizer,36
Benton,1/11/21,Moderna,137
Benton,1/11/21,Pfizer,408
Benton,1/12/21,Moderna,135
Benton,1/12/21,Pfizer,343
Benton,1/12/21,Unspecified,1
Benton,1/13/21,Moderna,151
Benton,1/13/21,Pfizer,356
Benton,1/14/21,Moderna,144
Benton,1/14/21,Pfizer,270
Benton,1/15/21,Moderna,147
Benton,1/15/21,Pfizer,294
Benton,1/16/21,Moderna,88
Benton,1/16/21,Pfizer,140
Benton,1/17/21,Moderna,4
Benton,1/17/21,Pfizer,87
Benton,1/18/21,Moderna,22
Benton,1/18/21,Pfizer,156
Benton,1/19/21,Moderna,219
Benton,1/19/21,Pfizer,203
Benton,1/20/21,Moderna,567
Benton,1/20/21,Pfizer,174
Benton,1/21/21,Moderna,333
Benton,1/21/21,Pfizer,116
Benton,1/22/21,Moderna,34
Benton,1/22/21,Pfizer,90
Benton,1/23/21,Moderna,88
Benton,1/23/21,Pfizer,11
Benton,1/24/21,Moderna,22
Benton,1/24/21,Pfizer,12
Benton,1/25/21,Moderna,62
Benton,1/25/21,Pfizer,86
Benton,1/25/21,Unspecified,1
Benton,1/26/21,Moderna,651
Benton,1/26/21,Pfizer,106
Benton,1/27/21,Moderna,621
Benton,1/27/21,Pfizer,111
Benton,1/28/21,Moderna,836
Benton,1/28/21,Pfizer,179
Benton,1/29/21,Moderna,108
Benton,1/29/21,Pfizer,176
Benton,1/29/21,Unspecified,1
Benton,1/30/21,Moderna,61
Benton,1/30/21,Pfizer,47
Benton,1/31/21,Moderna,83
Benton,1/31/21,Pfizer,21
Benton,2/1/21,Moderna,66
Benton,2/1/21,Pfizer,274
Benton,2/2/21,Moderna,617
Benton,2/2/21,Pfizer,226
Benton,2/3/21,Moderna,659
Benton,2/3/21,Pfizer,252
Benton,2/4/21,Moderna,273
Benton,2/4/21,Pfizer,193
Benton,2/5/21,Moderna,"1,823"
Benton,2/5/21,Pfizer,339
Benton,2/6/21,Moderna,195
Benton,2/6/21,Pfizer,131
Benton,2/7/21,Moderna,127
Benton,2/7/21,Pfizer,86
Benton,2/8/21,Moderna,136
Benton,2/8/21,Pfizer,66
Benton,2/9/21,Moderna,220
Benton,2/9/21,Pfizer,220
Benton,2/9/21,Unspecified,2
Benton,2/10/21,Moderna,"1,095"
Benton,2/10/21,Pfizer,90
Benton,2/11/21,Moderna,184
Benton,2/11/21,Pfizer,91
Benton,2/12/21,Moderna,167
Benton,2/12/21,Pfizer,52
Benton,2/13/21,Moderna,71
Benton,2/13/21,Pfizer,5
Benton,2/14/21,Moderna,32
Benton,2/14/21,Pfizer,2
Benton,2/15/21,Moderna,104
Benton,2/15/21,Pfizer,35
Benton,2/16/21,Moderna,177
Benton,2/16/21,Pfizer,37
Benton,2/17/21,Moderna,833
Benton,2/17/21,Pfizer,17
Benton,2/18/21,Moderna,265
Benton,2/18/21,Pfizer,658
Benton,2/19/21,Moderna,94
Benton,2/19/21,Pfizer,128
Benton,2/20/21,Moderna,59
Benton,2/20/21,Pfizer,21
Benton,2/21/21,Moderna,15
Benton,2/21/21,Pfizer,22
Benton,2/22/21,Moderna,9
Benton,2/22/21,Pfizer,32
Benton,2/23/21,Moderna,309
Benton,2/23/21,Pfizer,44
